--- LEAGUES ---
ID: 0b418707-5a4f-47c7-9e77-f66e0af26ae5 | Name: San Luis de Quillota | LeagueID: a12fa352-3a85-42ad-a7f5-2194c3f0cf66
ID: 0b6dd6b3-6f19-4ec6-ae55-026904d06954 | Name: Deportes Concepción | LeagueID: 0b69c4c7-b9dc-4580-95ba-f07f0ad1893d
ID: 0bec22e9-bd6c-4934-9791-6ae943e080a8 | Name: Deportes Iquique | LeagueID: a12fa352-3a85-42ad-a7f5-2194c3f0cf66
ID: 0cc29d49-e85a-4087-9485-fbfe165336ff | Name: AC Barnechea | LeagueID: b8f40800-8e29-4a45-adb2-250e3f3c63bf
ID: 0d0b0223-6fce-41fe-86a8-e730f69b30f9 | Name: Arturo Fernández Vial | LeagueID: 41061bb3-3b28-459f-a1cc-7f65dc9f3e16
ID: 1042a65e-5e66-4220-8e37-f8b2f4d598e9 | Name: Santiago Morning | LeagueID: f6251388-49fe-4d9b-ac52-4568555abae7
ID: 124c5638-b523-4eb3-b3dc-8d667092619c | Name: Deportes Melipilla | LeagueID: 41061bb3-3b28-459f-a1cc-7f65dc9f3e16
ID: 14c99a13-1c69-48c2-b88c-b29de2683049 | Name: Universidad Católica | LeagueID: 8a1bcb77-89f2-4884-ab20-750da17f48ac
ID: 1b0ab112-5c4e-414b-8f82-fcdb9f97bbb9 | Name: Universidad Católica | LeagueID: dc45aff8-66e3-4b37-9033-a60a4e1aa369
ID: 1b0daa21-4378-43c4-845d-4eaf9255248e | Name: Colo-Colo | LeagueID: 8a1bcb77-89f2-4884-ab20-750da17f48ac
ID: 1b6edc90-7a24-49ca-b241-c7011c87bdc6 | Name: O'Higgins | LeagueID: dc45aff8-66e3-4b37-9033-a60a4e1aa369
ID: 1c430758-d81d-4ebc-a0e2-7bff2ebfa63d | Name: Santiago Morning | LeagueID: 41061bb3-3b28-459f-a1cc-7f65dc9f3e16
ID: 1f0735cb-d8bf-4725-a931-fb834931baf2 | Name: Universidad de Concepción | LeagueID: 0b69c4c7-b9dc-4580-95ba-f07f0ad1893d
ID: 20685ffd-6e87-49aa-80c0-f8abbb8ae6a3 | Name: Deportes La Serena | LeagueID: 8a1bcb77-89f2-4884-ab20-750da17f48ac
ID: 22840547-8e2a-4c8a-8009-c8437ff724e7 | Name: San Luis de Quillota | LeagueID: 0b69c4c7-b9dc-4580-95ba-f07f0ad1893d
ID: 274515ba-c620-4fd3-859a-516684364f34 | Name: Audax Italiano | LeagueID: dc45aff8-66e3-4b37-9033-a60a4e1aa369
ID: 28ada7dd-110c-4b66-8095-2451848c21c0 | Name: Palestino | LeagueID: 8a1bcb77-89f2-4884-ab20-750da17f48ac
ID: 28c95569-6f57-4014-8e22-7d1e7e201339 | Name: San Marcos de Arica | LeagueID: b8f40800-8e29-4a45-adb2-250e3f3c63bf
ID: 2abc0a6e-ba4b-4df5-ad2b-bf7b622bedbe | Name: Deportes Copiapó | LeagueID: dc45aff8-66e3-4b37-9033-a60a4e1aa369
ID: 3013cab8-a5ab-47fa-9dbc-b808eb7c8bfc | Name: Club Deportes Antofagasta | LeagueID: a12fa352-3a85-42ad-a7f5-2194c3f0cf66
ID: 31445b44-8320-4c4e-a5a2-8120a72bef0c | Name: Rangers de Talca | LeagueID: f6251388-49fe-4d9b-ac52-4568555abae7
ID: 3334a2b2-ffc0-4b42-a21f-be8cd927f319 | Name: Coquimbo Unido | LeagueID: 8a1bcb77-89f2-4884-ab20-750da17f48ac
ID: 349dbeb2-2a03-4750-a1ea-54abd3f84ddc | Name: Deportes Puerto Montt | LeagueID: f6251388-49fe-4d9b-ac52-4568555abae7
ID: 35196752-8ed8-482c-b799-8ea882068146 | Name: Rangers de Talca | LeagueID: 41061bb3-3b28-459f-a1cc-7f65dc9f3e16
ID: 3641771b-7bac-4c61-a127-82e1f13e27af | Name: Curicó Unido | LeagueID: 0b69c4c7-b9dc-4580-95ba-f07f0ad1893d
ID: 3af17390-f0db-48a4-8aeb-9431c61bee4e | Name: Deportes Recoleta | LeagueID: 0b69c4c7-b9dc-4580-95ba-f07f0ad1893d
ID: 3c330514-f28a-4d61-af2a-f2eb4967539d | Name: Cobreloa | LeagueID: 41061bb3-3b28-459f-a1cc-7f65dc9f3e16
ID: 3c65a8a8-338c-417c-bc57-54053f18a332 | Name: Unión San Felipe | LeagueID: b8f40800-8e29-4a45-adb2-250e3f3c63bf
ID: 3e514365-275e-488b-b120-ac1b3feaf64f | Name: Colo-Colo | LeagueID: f0a51327-f9c0-4535-baec-ffb6121254f2
ID: 4066c6a4-901a-4545-b6fe-056e8e0f4c70 | Name: Deportes Temuco | LeagueID: f6251388-49fe-4d9b-ac52-4568555abae7
ID: 419d72bc-8e32-405e-b09c-79278c930a8a | Name: Deportes Temuco | LeagueID: b8f40800-8e29-4a45-adb2-250e3f3c63bf
ID: 48d14d9c-80fd-4163-866c-1e1ab895ac71 | Name: Ñublense | LeagueID: 8a1bcb77-89f2-4884-ab20-750da17f48ac
ID: 4b72e6ea-6a49-4118-91d7-0aedf005cb6d | Name: Cobreloa | LeagueID: dc45aff8-66e3-4b37-9033-a60a4e1aa369
ID: 4ec6da57-fb67-43cd-81cc-09220e142742 | Name: Deportes Iquique | LeagueID: 41061bb3-3b28-459f-a1cc-7f65dc9f3e16
ID: 4fd8f029-2fc4-483c-8747-4796974e9701 | Name: Unión La Calera | LeagueID: 7cf6b610-f419-426b-a56e-16d680a9cd0c
ID: 54c313bb-5cab-46d8-b663-e72c9cc05a81 | Name: Deportes Iquique | LeagueID: f6251388-49fe-4d9b-ac52-4568555abae7
ID: 5887ab2e-daf2-46b8-babb-8f8e962b23a6 | Name: Deportes Iquique | LeagueID: 8a1bcb77-89f2-4884-ab20-750da17f48ac
ID: 58dfa7ed-f47c-43ba-80a8-ad55edef803d | Name: Universidad Católica | LeagueID: bad4091f-ff55-4dca-87d7-8f9af542a08c
ID: 58f537c4-aa1a-4425-a9a1-2078584d4c7d | Name: Deportes Recoleta | LeagueID: f6251388-49fe-4d9b-ac52-4568555abae7
ID: 597db3fe-bc2f-49e2-b03c-81fa67ed06e1 | Name: San Luis de Quillota | LeagueID: f6251388-49fe-4d9b-ac52-4568555abae7
ID: 5c3a4b27-79d7-454d-978e-cd29b0801e80 | Name: Huachipato | LeagueID: 8a1bcb77-89f2-4884-ab20-750da17f48ac
ID: 5d8f26c4-8950-4ffa-acc9-e36493037d36 | Name: Rangers de Talca | LeagueID: 0b69c4c7-b9dc-4580-95ba-f07f0ad1893d
ID: 5f590869-9ad5-4c7d-88d5-4dbb63787ea5 | Name: Club Deportes Antofagasta | LeagueID: bad4091f-ff55-4dca-87d7-8f9af542a08c
ID: 60650f70-26c7-4535-945b-ca3dafa2bc71 | Name: Deportes Temuco | LeagueID: a12fa352-3a85-42ad-a7f5-2194c3f0cf66
ID: 6080bdbf-3d19-4670-a367-43ee6d831669 | Name: Unión La Calera | LeagueID: 8a1bcb77-89f2-4884-ab20-750da17f48ac
ID: 647ed659-02d4-4b40-860d-92563ba11c94 | Name: Deportes Copiapó | LeagueID: a12fa352-3a85-42ad-a7f5-2194c3f0cf66
ID: 65824fc8-8d07-4331-a7f5-a9cbd712a968 | Name: Deportes Recoleta | LeagueID: 41061bb3-3b28-459f-a1cc-7f65dc9f3e16
ID: 65efb892-542c-44c7-9818-17343cc9a44d | Name: AC Barnechea | LeagueID: f6251388-49fe-4d9b-ac52-4568555abae7
ID: 679bfe02-75a4-4d9b-9b1d-0dc691346c99 | Name: Deportes Santa Cruz | LeagueID: f6251388-49fe-4d9b-ac52-4568555abae7
ID: 68812ac1-9e73-4094-bdd8-5f870641db57 | Name: Deportes Recoleta | LeagueID: a12fa352-3a85-42ad-a7f5-2194c3f0cf66
ID: 68d292e8-78a6-4c14-8691-8ae227b65447 | Name: Unión Española | LeagueID: dc45aff8-66e3-4b37-9033-a60a4e1aa369
ID: 6a4f6208-8e5b-434b-a44a-c9ebfe6b0264 | Name: O'Higgins | LeagueID: f0a51327-f9c0-4535-baec-ffb6121254f2
ID: 6c7a9386-f6ee-4f43-8a3b-820e8fcc6e81 | Name: Ñublense | LeagueID: dc45aff8-66e3-4b37-9033-a60a4e1aa369
ID: 6f9555a1-66ae-4482-8302-026a15813e52 | Name: Audax Italiano | LeagueID: f0a51327-f9c0-4535-baec-ffb6121254f2
ID: 70f31e4d-a7f0-40ad-99f1-e5d004dfc071 | Name: Deportes Puerto Montt | LeagueID: 41061bb3-3b28-459f-a1cc-7f65dc9f3e16
ID: 71d0c429-8f2f-443c-94e5-74084f59f7e5 | Name: Curicó Unido | LeagueID: a12fa352-3a85-42ad-a7f5-2194c3f0cf66
ID: 736bf781-195c-48d0-b2e0-3b22dc6b0fe9 | Name: Palestino | LeagueID: bad4091f-ff55-4dca-87d7-8f9af542a08c
ID: 74a6850b-cad0-43b5-aca6-5de986916fa9 | Name: Club Deportes Antofagasta | LeagueID: b8f40800-8e29-4a45-adb2-250e3f3c63bf
ID: 765f18e3-444b-495f-bbbb-8486b99cdb79 | Name: Deportes Santa Cruz | LeagueID: a12fa352-3a85-42ad-a7f5-2194c3f0cf66
ID: 766161ea-caa8-47c7-b2fa-696c22831373 | Name: Cobresal | LeagueID: bad4091f-ff55-4dca-87d7-8f9af542a08c
ID: 79bdc231-3c37-4825-9c10-87c48ba8f614 | Name: Deportes Limache | LeagueID: 7cf6b610-f419-426b-a56e-16d680a9cd0c
ID: 7a0d67ed-5039-42df-bcb8-233f0346ac26 | Name: Coquimbo Unido | LeagueID: dc45aff8-66e3-4b37-9033-a60a4e1aa369
ID: 7bc4d1d4-0d50-4a3e-ab12-89a64fed7957 | Name: Santiago Wanderers | LeagueID: a12fa352-3a85-42ad-a7f5-2194c3f0cf66
ID: 7be47e35-9c5c-4693-b3de-2ed1a25d3f53 | Name: Universidad de Concepción | LeagueID: f6251388-49fe-4d9b-ac52-4568555abae7
ID: 7c2184e7-59f2-4f7d-835d-4e5b6e9c3c60 | Name: Coquimbo Unido | LeagueID: 7cf6b610-f419-426b-a56e-16d680a9cd0c
