ID_Partido,Jornada,Fecha_Hora,Equipo_Local,Goles_Local,Equipo_Visitante,Goles_Visitante,Posesion_Local,Posesion_Visitante,xG_Local,xG_Visitante,Disparos_Totales_Local,Disparos_Totales_Visitante,Disparos_a_Puerta_Local,Disparos_a_Puerta_Visitante,Corners_Local,Corners_Visitante
13443539,9,2025-04-27 16:30:00,O'Higgins,2,Deportes Iquique,2,59.0,41.0,1.41,1.05,11.0,12.0,4.0,3.0,2.0,2.0
13443537,9,2025-04-27 19:00:00,Palestino,2,Universidad de Chile,3,56.0,44.0,2.4,2.3,16.0,17.0,7.0,6.0,4.0,5.0
13443549,9,2025-04-27 21:30:00,Huachipato,2,Unión Española,1,37.0,63.0,1.47,3.14,9.0,22.0,4.0,9.0,4.0,10.0
13443553,10,2025-05-02 20:00:00,Deportes Limache,1,Colo Colo,0,34.0,66.0,1.09,1.74,11.0,16.0,5.0,2.0,5.0,6.0
13443557,10,2025-05-03 00:30:00,Unión Española,0,Cobresal,1,58.0,42.0,1.14,1.39,25.0,20.0,3.0,7.0,8.0,5.0
13443563,10,2025-05-03 16:30:00,Everton de Viña del Mar,1,Palestino,2,43.0,57.0,0.47,1.48,12.0,13.0,5.0,5.0,4.0,4.0
13443555,10,2025-05-03 20:00:00,Universidad de Chile,1,Universidad Católica,0,63.0,37.0,1.2,0.2,15.0,6.0,3.0,0.0,5.0,0.0
13443565,10,2025-05-03 22:30:00,Coquimbo Unido,2,O'Higgins,0,36.0,64.0,1.18,0.44,12.0,8.0,5.0,1.0,9.0,1.0
13443567,10,2025-05-04 19:00:00,Deportes Iquique,3,Huachipato,0,29.0,71.0,1.85,1.33,11.0,12.0,3.0,2.0,2.0,1.0
13443559,10,2025-05-04 21:30:00,Audax Italiano,2,Deportes La Serena,1,49.0,51.0,1.71,0.87,21.0,16.0,5.0,6.0,8.0,5.0
13443561,10,2025-05-05 00:00:00,Ñublense,1,Unión La Calera,1,57.0,43.0,1.67,1.32,14.0,11.0,4.0,4.0,6.0,2.0
13443575,11,2025-05-17 00:00:00,Unión La Calera,0,Coquimbo Unido,1,64.0,36.0,0.53,0.58,12.0,6.0,2.0,3.0,2.0,1.0
13443581,11,2025-05-17 19:00:00,Cobresal,0,Audax Italiano,1,67.0,33.0,0.79,1.99,15.0,13.0,4.0,4.0,5.0,4.0
13443571,11,2025-05-17 21:30:00,O'Higgins,2,Universidad Católica,0,37.0,63.0,1.2,1.38,8.0,10.0,2.0,3.0,1.0,8.0
13443435,11,2025-05-18 19:00:00,Deportes Limache,1,Palestino,0,57.0,43.0,,,10.0,15.0,2.0,2.0,2.0,7.0
13443427,11,2025-05-18 22:30:00,Universidad de Chile,5,Huachipato,1,54.0,46.0,2.71,1.44,16.0,16.0,8.0,7.0,8.0,9.0
13443577,11,2025-05-19 19:00:00,Unión Española,0,Everton de Viña del Mar,3,50.0,50.0,0.76,2.08,7.0,24.0,2.0,7.0,6.0,8.0
13443583,11,2025-05-19 22:00:00,Colo Colo,2,Ñublense,2,62.0,38.0,2.01,1.62,22.0,11.0,9.0,5.0,9.0,3.0
13443573,11,2025-05-20 00:30:00,Deportes La Serena,2,Deportes Iquique,1,67.0,33.0,,,26.0,9.0,7.0,2.0,4.0,1.0
13443585,12,2025-05-23 22:00:00,Deportes Limache,2,Universidad de Chile,0,33.0,67.0,0.59,1.03,11.0,22.0,2.0,8.0,3.0,5.0
13443587,12,2025-05-24 19:00:00,Everton de Viña del Mar,2,Cobresal,2,64.0,36.0,1.42,1.43,20.0,11.0,2.0,5.0,12.0,3.0
13443593,12,2025-05-24 21:30:00,Colo Colo,4,Unión Española,1,59.0,41.0,2.82,1.15,22.0,13.0,9.0,6.0,5.0,5.0
13443595,12,2025-05-25 00:00:00,Coquimbo Unido,0,Palestino,0,38.0,62.0,1.09,0.85,12.0,9.0,5.0,3.0,7.0,6.0
13443597,12,2025-05-25 16:30:00,Ñublense,0,O'Higgins,1,60.0,40.0,1.35,0.62,13.0,9.0,3.0,4.0,6.0,3.0
13443589,12,2025-05-25 19:00:00,Universidad Católica,1,Deportes La Serena,3,63.0,37.0,1.7,1.7,14.0,10.0,5.0,7.0,11.0,1.0
13443591,12,2025-05-26 00:00:00,Deportes Iquique,0,Unión La Calera,1,45.0,55.0,2.35,1.07,17.0,10.0,3.0,6.0,5.0,4.0
13443599,12,2025-05-26 23:30:00,Audax Italiano,4,Huachipato,3,48.0,52.0,4.26,2.66,23.0,11.0,9.0,5.0,7.0,9.0
13443607,13,2025-05-31 16:30:00,Deportes La Serena,2,Coquimbo Unido,4,64.0,36.0,1.56,2.92,10.0,14.0,3.0,7.0,5.0,6.0
13443438,13,2025-05-31 16:30:00,Huachipato,0,Ñublense,1,43.0,57.0,0.77,1.59,9.0,16.0,2.0,5.0,0.0,3.0
13443433,13,2025-05-31 19:00:00,Universidad de Chile,6,O'Higgins,0,56.0,44.0,1.63,1.64,16.0,10.0,7.0,3.0,3.0,4.0
13443428,13,2025-06-01 00:00:00,Everton de Viña del Mar,1,Audax Italiano,1,67.0,33.0,1.55,1.04,18.0,8.0,3.0,4.0,4.0,3.0
13443603,13,2025-06-01 19:00:00,Palestino,1,Universidad Católica,1,43.0,57.0,0.65,1.62,8.0,12.0,4.0,7.0,1.0,8.0
13443601,13,2025-06-01 21:30:00,Unión La Calera,0,Colo Colo,1,47.0,53.0,1.66,0.77,18.0,3.0,2.0,1.0,3.0,1.0
13443605,13,2025-06-02 22:00:00,Cobresal,2,Deportes Iquique,1,50.0,50.0,1.93,1.96,21.0,13.0,8.0,7.0,7.0,5.0
13443425,13,2025-06-03 19:00:00,Unión Española,2,Deportes Limache,2,59.0,41.0,2.06,1.46,20.0,9.0,6.0,2.0,10.0,3.0
13443460,14,2025-06-14 00:00:00,Deportes Limache,0,Unión La Calera,1,55.0,45.0,1.77,0.9,14.0,10.0,4.0,2.0,5.0,2.0
13443454,14,2025-06-14 16:30:00,Palestino,2,Deportes La Serena,1,56.0,44.0,1.47,0.82,13.0,11.0,5.0,2.0,7.0,4.0
13443484,14,2025-06-14 19:00:00,Universidad Católica,1,Huachipato,0,60.0,40.0,2.06,0.63,17.0,8.0,3.0,3.0,4.0,0.0
13443478,14,2025-06-15 16:30:00,O'Higgins,1,Unión Española,0,55.0,45.0,1.75,0.65,18.0,7.0,3.0,1.0,6.0,9.0
13443444,14,2025-06-15 19:00:00,Coquimbo Unido,1,Universidad de Chile,0,37.0,63.0,0.29,1.11,3.0,11.0,2.0,3.0,1.0,4.0
13443472,14,2025-06-16 00:00:00,Ñublense,2,Audax Italiano,3,76.0,24.0,1.55,1.39,21.0,7.0,3.0,3.0,7.0,1.0
13443466,14,2025-06-17 00:00:00,Deportes Iquique,1,Everton de Viña del Mar,2,58.0,42.0,2.08,0.66,14.0,10.0,4.0,5.0,4.0,4.0
13443448,14,2025-06-17 22:00:00,Colo Colo,4,Cobresal,0,72.0,28.0,2.62,0.33,19.0,10.0,8.0,4.0,8.0,2.0
13443489,15,2025-06-20 21:30:00,Unión La Calera,1,Universidad Católica,1,35.0,65.0,0.75,0.79,7.0,12.0,3.0,5.0,7.0,5.0
13443493,15,2025-06-21 16:30:00,Unión Española,0,Coquimbo Unido,2,58.0,42.0,0.3,1.99,6.0,19.0,1.0,9.0,2.0,9.0
13443491,15,2025-06-21 19:00:00,Universidad de Chile,3,Deportes Iquique,1,66.0,34.0,3.59,0.33,23.0,6.0,9.0,3.0,7.0,1.0
13443497,15,2025-06-21 21:30:00,Huachipato,2,Palestino,2,47.0,53.0,1.03,1.69,20.0,11.0,7.0,4.0,4.0,2.0
